               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024777,            0.013759,           0.0020526,             0.94541,             0.87049,             0.92817,             0.65544,            0.024307,            0.011015,           0.0030521,            0.009028,            0.009028,            0.009028
                  36,            0.024755,             0.01378,           0.0019357,             0.93697,             0.87913,             0.92578,             0.64777,            0.024345,            0.011035,           0.0034762,           0.0089726,           0.0089726,           0.0089726
                  37,            0.024647,            0.013579,           0.0018412,             0.94096,             0.88259,             0.93024,             0.65443,             0.02441,            0.011128,           0.0028549,           0.0089159,           0.0089159,           0.0089159
                  38,            0.024296,            0.013766,             0.00196,             0.94472,             0.87676,             0.92783,             0.65469,            0.024157,            0.011032,           0.0026407,           0.0088579,           0.0088579,           0.0088579
                  39,            0.024292,            0.013479,           0.0019545,             0.93092,             0.89254,             0.92987,             0.65262,            0.024268,            0.011136,            0.003039,           0.0087987,           0.0087987,           0.0087987
                  40,            0.024318,            0.013772,           0.0019113,             0.93256,              0.8897,             0.92715,             0.65585,            0.024132,            0.011019,           0.0030488,           0.0087382,           0.0087382,           0.0087382
                  41,            0.024494,            0.013962,            0.002015,             0.94576,             0.88101,             0.93042,             0.65474,            0.024173,            0.011055,           0.0030373,           0.0086765,           0.0086765,           0.0086765
                  42,            0.024061,            0.013544,           0.0018835,             0.94608,             0.87506,             0.92625,             0.65601,             0.02376,            0.011066,           0.0028636,           0.0086137,           0.0086137,           0.0086137
                  43,            0.024104,            0.013737,           0.0020157,             0.94043,             0.88174,              0.9258,             0.65151,             0.02439,            0.011047,           0.0029327,           0.0085497,           0.0085497,           0.0085497
                  44,            0.024111,            0.013505,            0.001994,             0.94327,             0.87637,             0.92561,             0.65511,            0.024032,            0.011074,           0.0030325,           0.0084846,           0.0084846,           0.0084846
                  45,            0.023742,             0.01321,           0.0017251,             0.95134,             0.86654,             0.92415,             0.65643,            0.024188,            0.011146,           0.0040264,           0.0084184,           0.0084184,           0.0084184
                  46,            0.023893,            0.013338,           0.0018646,             0.93818,             0.87693,             0.93028,             0.65969,            0.023677,            0.010991,           0.0030684,           0.0083511,           0.0083511,           0.0083511
                  47,            0.023571,             0.01319,           0.0017166,             0.95069,             0.87411,             0.93111,             0.65838,            0.023808,            0.010938,           0.0028155,           0.0082829,           0.0082829,           0.0082829
                  48,            0.023245,            0.013325,           0.0016458,              0.9327,             0.88615,             0.92862,              0.6604,            0.024048,            0.010995,           0.0030234,           0.0082136,           0.0082136,           0.0082136
                  49,            0.023339,            0.013102,           0.0017416,             0.94485,              0.8729,              0.9286,             0.65862,            0.024025,             0.01095,           0.0031055,           0.0081433,           0.0081433,           0.0081433
                  50,            0.023313,            0.013198,           0.0018688,             0.94748,             0.87484,             0.93087,             0.66719,            0.023742,            0.010941,           0.0029904,           0.0080721,           0.0080721,           0.0080721
                  51,            0.023407,            0.013282,           0.0018516,             0.94707,             0.88109,             0.93038,             0.66016,            0.023981,            0.011033,           0.0027397,               0.008,               0.008,               0.008
                  52,            0.022849,            0.012711,           0.0017422,             0.95031,             0.87916,             0.92928,             0.65817,            0.023989,            0.011009,           0.0028656,            0.007927,            0.007927,            0.007927
                  53,            0.022867,             0.01323,           0.0016698,             0.94623,             0.87414,             0.92703,             0.66188,             0.02397,            0.011002,           0.0028464,           0.0078532,           0.0078532,           0.0078532
                  54,            0.023062,            0.013161,           0.0018325,             0.94221,             0.88332,             0.93085,             0.66078,            0.023863,            0.010978,           0.0026809,           0.0077785,           0.0077785,           0.0077785
                  55,            0.022942,            0.013035,           0.0014364,             0.93352,              0.8868,             0.92805,             0.65807,            0.023849,            0.010994,           0.0029562,           0.0077031,           0.0077031,           0.0077031
                  56,            0.022645,            0.013035,           0.0015459,             0.94074,             0.89001,             0.92968,             0.66206,            0.023885,            0.010903,           0.0030612,           0.0076269,           0.0076269,           0.0076269
                  57,            0.022782,            0.012927,           0.0015756,             0.93841,               0.893,             0.93303,             0.66073,            0.023667,            0.010946,           0.0027447,           0.0075501,           0.0075501,           0.0075501
                  58,            0.022365,             0.01277,           0.0016501,             0.92985,             0.90062,             0.93308,             0.66365,            0.023951,            0.010932,           0.0026087,           0.0074725,           0.0074725,           0.0074725
                  59,            0.022318,            0.012822,           0.0014531,             0.95636,             0.87352,              0.9311,             0.66088,            0.023714,            0.011049,           0.0028348,           0.0073943,           0.0073943,           0.0073943
                  60,             0.02256,            0.012529,           0.0013497,             0.95047,             0.88157,             0.93009,             0.65866,             0.02386,            0.011072,           0.0026992,           0.0073155,           0.0073155,           0.0073155
                  61,            0.022607,            0.013011,            0.001441,             0.94564,             0.88744,             0.93235,              0.6638,            0.023893,            0.010995,           0.0026821,           0.0072361,           0.0072361,           0.0072361
                  62,            0.022233,             0.01283,           0.0014953,             0.94043,             0.89025,             0.93196,             0.65901,            0.023614,            0.010922,           0.0028218,           0.0071561,           0.0071561,           0.0071561
                  63,            0.022292,            0.012691,           0.0014515,             0.94857,              0.8833,             0.93317,             0.66396,            0.023581,            0.011011,           0.0029143,           0.0070757,           0.0070757,           0.0070757
                  64,            0.022043,            0.012565,           0.0015596,             0.93894,             0.88956,             0.93048,             0.66134,            0.023633,             0.01107,           0.0026975,           0.0069948,           0.0069948,           0.0069948
                  65,            0.021711,            0.012475,           0.0014591,             0.95069,             0.88087,             0.93366,              0.6651,            0.023698,            0.011062,           0.0029287,           0.0069134,           0.0069134,           0.0069134
                  66,            0.021789,            0.012331,           0.0013783,             0.93646,             0.88738,             0.92977,             0.66312,            0.023718,            0.011074,           0.0029676,           0.0068316,           0.0068316,           0.0068316
                  67,             0.02163,            0.012185,           0.0013075,              0.9529,             0.87792,             0.92897,             0.66343,            0.023608,            0.011127,           0.0035487,           0.0067495,           0.0067495,           0.0067495
                  68,            0.021588,            0.012251,           0.0014356,             0.94203,             0.88939,             0.92882,             0.65987,             0.02359,            0.011133,           0.0033881,           0.0066671,           0.0066671,           0.0066671
                  69,            0.021835,            0.012448,           0.0014024,              0.9392,             0.89287,             0.93145,             0.66166,            0.023733,            0.011109,            0.002849,           0.0065843,           0.0065843,           0.0065843
                  70,            0.021336,            0.012101,           0.0012708,             0.94459,             0.88219,             0.93264,             0.66286,            0.023606,            0.011108,           0.0027669,           0.0065013,           0.0065013,           0.0065013
                  71,             0.02105,            0.012094,           0.0014512,             0.93193,             0.88627,             0.93044,             0.66067,            0.023468,             0.01108,            0.002993,           0.0064181,           0.0064181,           0.0064181
                  72,            0.021172,             0.01228,           0.0012562,             0.93792,             0.88418,             0.93203,             0.66437,            0.023461,            0.011153,           0.0030506,           0.0063347,           0.0063347,           0.0063347
                  73,            0.021125,            0.012198,           0.0012551,             0.94518,             0.88618,             0.93097,             0.66122,            0.023435,            0.011169,           0.0030525,           0.0062512,           0.0062512,           0.0062512
                  74,            0.021069,             0.01189,           0.0011949,             0.93945,             0.88627,              0.9296,             0.66555,            0.023489,            0.011223,           0.0031962,           0.0061675,           0.0061675,           0.0061675
                  75,            0.021001,            0.012114,           0.0014092,             0.93094,             0.89682,             0.93043,             0.66586,            0.023531,            0.011188,           0.0034843,           0.0060838,           0.0060838,           0.0060838
                  76,            0.020573,            0.011849,           0.0013332,             0.93929,             0.88239,             0.93153,             0.66714,            0.023488,            0.011212,           0.0033914,               0.006,               0.006,               0.006
